"review_order","review_id","expected_class","stimulus_sha256","validity","completeness","audibility","note"
"1","PAR-001","gunshot_gunfire","3548467eff8d14f9a62c617d1a7ade0f34c6edef34c5b64ec1517f2ed2f52266","canonical","complete","normal",""
"2","PAR-002","gunshot_gunfire","aaeca8c57b7f1241176f429d6181c24bb766709699ae30f47c7be682a8e6ab3f","canonical","complete","loud_distorted","bit loud"
"3","PAR-003","gunshot_gunfire","920e21b60baef9b93c3149412197e065194cd4645ab4ca06532d162405e271ae","canonical","complete","normal",""
"4","PAR-004","gunshot_gunfire","802b7a7a171409e0d416058aa99831c62eb9ae0fbb847dc66c80a170eca5c922","canonical","complete","normal",""
"5","PAR-005","gunshot_gunfire","10c4a31a730a3ae6f354894e0b82c4c29a3bdcec95926666f1bc64335d414112","canonical","complete","normal",""
"6","PAR-006","gunshot_gunfire","0ed50efab9dfc141453f98028824b5e704a34c57593119d42ccbf4f923f40715","canonical","complete","normal",""
"7","PAR-007","gunshot_gunfire","6928e52454140dfd186e1841a8fb9acc68e91019274c56f78ee077aadf4815dc","canonical","complete","normal",""
"8","PAR-008","gunshot_gunfire","13cd2acf4703e34a6f84a69d20132f70f9d0977ffc868729926a1b1cd29cb112","canonical","complete","normal",""
"9","PAR-009","gunshot_gunfire","5be25db78fd26adfe1098c5e93745a0f884102e2eb32799f0dcd6003793a8307","canonical","complete","normal",""
"10","PAR-010","gunshot_gunfire","b3a8a3a40e3a6e6ee5dc32d67f72c6069a531b1a01d974c5529c419643a3f020","canonical","complete","normal",""
"11","PAR-011","gunshot_gunfire","6fbf7e8bf8c72066ae9ec755212b15cd3b6d8973d7a8530af3dc6d79e9422801","canonical","complete","normal",""
"12","PAR-012","gunshot_gunfire","df3bd44ad46946423c03081745644e20e3b3e02a8516117b1b610b08741dbb27","canonical","complete","normal",""
