record_id,candidate_class,acoustic_family,source_dataset,source_partition,original_split,selection_role,source_id,filename,source_label,source_mid,label_count,raw_labels,source_title,source_uploader,license_url,audio_relative_path,audio_available,source_url,license_note
ESC50-5-5-170338-A-41.wav,chainsaw,continuous_mechanical,ESC-50,fold_5,5,reserved_test,170338,5-170338-A-41.wav,chainsaw,,1,chainsaw,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,audio/5-170338-A-41.wav,1,https://github.com/karolpiczak/esc-50,ESC-50 upstream per-clip attribution and dataset license apply
ESC50-5-5-170338-B-41.wav,chainsaw,continuous_mechanical,ESC-50,fold_5,5,reserved_test,170338,5-170338-B-41.wav,chainsaw,,1,chainsaw,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,audio/5-170338-B-41.wav,1,https://github.com/karolpiczak/esc-50,ESC-50 upstream per-clip attribution and dataset license apply
ESC50-5-5-171653-A-41.wav,chainsaw,continuous_mechanical,ESC-50,fold_5,5,reserved_test,171653,5-171653-A-41.wav,chainsaw,,1,chainsaw,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,audio/5-171653-A-41.wav,1,https://github.com/karolpiczak/esc-50,ESC-50 upstream per-clip attribution and dataset license apply
ESC50-5-5-185579-A-41.wav,chainsaw,continuous_mechanical,ESC-50,fold_5,5,reserved_test,185579,5-185579-A-41.wav,chainsaw,,1,chainsaw,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,audio/5-185579-A-41.wav,1,https://github.com/karolpiczak/esc-50,ESC-50 upstream per-clip attribution and dataset license apply
ESC50-5-5-185579-B-41.wav,chainsaw,continuous_mechanical,ESC-50,fold_5,5,reserved_test,185579,5-185579-B-41.wav,chainsaw,,1,chainsaw,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,audio/5-185579-B-41.wav,1,https://github.com/karolpiczak/esc-50,ESC-50 upstream per-clip attribution and dataset license apply
ESC50-5-5-216370-A-41.wav,chainsaw,continuous_mechanical,ESC-50,fold_5,5,reserved_test,216370,5-216370-A-41.wav,chainsaw,,1,chainsaw,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,audio/5-216370-A-41.wav,1,https://github.com/karolpiczak/esc-50,ESC-50 upstream per-clip attribution and dataset license apply
ESC50-5-5-216370-B-41.wav,chainsaw,continuous_mechanical,ESC-50,fold_5,5,reserved_test,216370,5-216370-B-41.wav,chainsaw,,1,chainsaw,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,audio/5-216370-B-41.wav,1,https://github.com/karolpiczak/esc-50,ESC-50 upstream per-clip attribution and dataset license apply
ESC50-5-5-222524-A-41.wav,chainsaw,continuous_mechanical,ESC-50,fold_5,5,reserved_test,222524,5-222524-A-41.wav,chainsaw,,1,chainsaw,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,audio/5-222524-A-41.wav,1,https://github.com/karolpiczak/esc-50,ESC-50 upstream per-clip attribution and dataset license apply
ESC50-1-1-116765-A-41.wav,chainsaw,continuous_mechanical,ESC-50,fold_1,1,train,116765,1-116765-A-41.wav,chainsaw,,1,chainsaw,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,audio/1-116765-A-41.wav,1,https://github.com/karolpiczak/esc-50,ESC-50 upstream per-clip attribution and dataset license apply
ESC50-1-1-19898-A-41.wav,chainsaw,continuous_mechanical,ESC-50,fold_1,1,train,19898,1-19898-A-41.wav,chainsaw,,1,chainsaw,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,audio/1-19898-A-41.wav,1,https://github.com/karolpiczak/esc-50,ESC-50 upstream per-clip attribution and dataset license apply
