review_order,review_id,expected_class,stimulus_file,stimulus_path,stimulus_sha256,source_dataset,source_group,score_stratum,peak_prominence,status
1,PAR-001,glass_breaking,glass_breaking__fsd50k__dev__85168__0166__r0__aug2.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__85168__0166__r0__aug2.wav,6fb61c5e67ce1c1de9e965b1f0897d9e78c9da62055cfa5324c93b7555eaabed,FSD50K,freesound:85168,position_gain_background,not_applicable,pending_blinded_listening_review
2,PAR-002,glass_breaking,glass_breaking__fsd50k__dev__219837__0121__r0__aug4.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__219837__0121__r0__aug4.wav,951d358811bbea80106f0e2a43713c9fbfa9b6baa770bc40a535251252d71c93,FSD50K,freesound:219837,position_gain_repeat,not_applicable,pending_blinded_listening_review
3,PAR-003,glass_breaking,glass_breaking__fsd50k__dev__179251__0043__r0__aug0.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__179251__0043__r0__aug0.wav,74e2db7516a3b8586bc6fea6d40e36775c8d0b847dda05061874123d5b8daf59,FSD50K,freesound:179251,position_only,not_applicable,pending_blinded_listening_review
4,PAR-004,glass_breaking,glass_breaking__fsd50k__dev__174747__0031__r0__aug3.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__174747__0031__r0__aug3.wav,34ce022eb47cab30bc93306a7c71a5467bdda899fd6cb7da77ed01893b8895e9,FSD50K,freesound:174747,position_filter_background,not_applicable,pending_blinded_listening_review
5,PAR-005,glass_breaking,glass_breaking__fsd50k__dev__321139__0044__r0__aug5.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__321139__0044__r0__aug5.wav,460edb626faeb19a7efd3a62c6237e2226c2e46bc5f95c04d0f0aec3b69d14b0,FSD50K,freesound:321139,position_gain_background_repeat,not_applicable,pending_blinded_listening_review
6,PAR-006,glass_breaking,glass_breaking__fsd50k__dev__194684__0144__r0__aug1.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__194684__0144__r0__aug1.wav,20cb6e9bdccb534edfd78b6be7bc0cf35f29b1d5a037ad5481887ae2dba81138,FSD50K,freesound:194684,position_gain,not_applicable,pending_blinded_listening_review
7,PAR-007,glass_breaking,glass_breaking__fsd50k__dev__390707__0191__r0__aug1.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__390707__0191__r0__aug1.wav,54168828be17a1a4d400b80c100b250effd14c55a252404a54036f1589999ba5,FSD50K,freesound:390707,position_gain,not_applicable,pending_blinded_listening_review
8,PAR-008,glass_breaking,glass_breaking__fsd50k__dev__194683__0119__r0__aug0.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__194683__0119__r0__aug0.wav,f6ba4398cfaad2c991545d5371273c7a081793c3585b5d7656d8f63749d6f7ff,FSD50K,freesound:194683,position_only,not_applicable,pending_blinded_listening_review
9,PAR-009,glass_breaking,glass_breaking__fsd50k__dev__42902__0178__r0__aug0.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__42902__0178__r0__aug0.wav,afdf0f6e208e8d10682a262df0131f5a33b1e51b4f5e99bf9f3f427b8b8cf815,FSD50K,freesound:42902,position_only,not_applicable,pending_blinded_listening_review
10,PAR-010,glass_breaking,glass_breaking__fsd50k__dev__219842__0146__r0__aug2.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__219842__0146__r0__aug2.wav,2abb2fa3d6c63f12f75a8a9c256d7d344e98e73324ceec29ee63e318cc072fb0,FSD50K,freesound:219842,position_gain_background,not_applicable,pending_blinded_listening_review
11,PAR-011,glass_breaking,glass_breaking__fsd50k__dev__92644__0127__r0__aug5.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__92644__0127__r0__aug5.wav,ced03c4d43df0602c0f1306fe733f0e4b65a420fccfc97894e621a278a89d9f6,FSD50K,freesound:92644,position_gain_background_repeat,not_applicable,pending_blinded_listening_review
12,PAR-012,glass_breaking,glass_breaking__fsd50k__dev__194682__0086__r0__aug0.wav,../ml-workspace/datasets/hazard5v4_patch_balanced_v3/audio/glass_breaking__fsd50k__dev__194682__0086__r0__aug0.wav,4c6c75eaf28e41393d96321eaf1b5a6fb5e7ab93739d571d7162c9a3077bebf2,FSD50K,freesound:194682,position_only,not_applicable,pending_blinded_listening_review
