record_id,filename,candidate_class,selection_role,patch_count
ESC50-1-1-116765-A-41.wav,1-116765-A-41.wav,chainsaw,train,6
ESC50-1-1-19898-A-41.wav,1-19898-A-41.wav,chainsaw,train,6
ESC50-1-1-19898-B-41.wav,1-19898-B-41.wav,chainsaw,train,6
ESC50-1-1-19898-C-41.wav,1-19898-C-41.wav,chainsaw,train,6
ESC50-1-1-47250-A-41.wav,1-47250-A-41.wav,chainsaw,train,6
ESC50-1-1-47250-B-41.wav,1-47250-B-41.wav,chainsaw,train,6
ESC50-1-1-64398-A-41.wav,1-64398-A-41.wav,chainsaw,train,6
ESC50-1-1-64398-B-41.wav,1-64398-B-41.wav,chainsaw,train,6
ESC50-2-2-50667-A-41.wav,2-50667-A-41.wav,chainsaw,train,6
ESC50-2-2-50667-B-41.wav,2-50667-B-41.wav,chainsaw,train,6
ESC50-2-2-50668-A-41.wav,2-50668-A-41.wav,chainsaw,train,6
ESC50-2-2-50668-B-41.wav,2-50668-B-41.wav,chainsaw,train,6
ESC50-2-2-68391-A-41.wav,2-68391-A-41.wav,chainsaw,train,6
ESC50-2-2-68391-B-41.wav,2-68391-B-41.wav,chainsaw,train,6
ESC50-2-2-77945-A-41.wav,2-77945-A-41.wav,chainsaw,train,6
ESC50-2-2-77945-B-41.wav,2-77945-B-41.wav,chainsaw,train,6
ESC50-3-3-118656-A-41.wav,3-118656-A-41.wav,chainsaw,train,6
ESC50-3-3-118657-A-41.wav,3-118657-A-41.wav,chainsaw,train,6
ESC50-3-3-118657-B-41.wav,3-118657-B-41.wav,chainsaw,train,6
ESC50-3-3-118658-A-41.wav,3-118658-A-41.wav,chainsaw,train,6
ESC50-3-3-118658-B-41.wav,3-118658-B-41.wav,chainsaw,train,6
ESC50-3-3-118972-A-41.wav,3-118972-A-41.wav,chainsaw,train,6
ESC50-3-3-118972-B-41.wav,3-118972-B-41.wav,chainsaw,train,6
ESC50-3-3-165856-A-41.wav,3-165856-A-41.wav,chainsaw,train,6
ESC50-4-4-149294-A-41.wav,4-149294-A-41.wav,chainsaw,validation,6
ESC50-4-4-149294-B-41.wav,4-149294-B-41.wav,chainsaw,validation,6
ESC50-4-4-157611-A-41.wav,4-157611-A-41.wav,chainsaw,validation,6
ESC50-4-4-157611-B-41.wav,4-157611-B-41.wav,chainsaw,validation,6
ESC50-4-4-165823-A-41.wav,4-165823-A-41.wav,chainsaw,validation,6
ESC50-4-4-165823-B-41.wav,4-165823-B-41.wav,chainsaw,validation,6
ESC50-4-4-169127-A-41.wav,4-169127-A-41.wav,chainsaw,validation,6
ESC50-4-4-169127-B-41.wav,4-169127-B-41.wav,chainsaw,validation,6
ESC50-1-1-17150-A-12.wav,1-17150-A-12.wav,crackling_fire,train,6
ESC50-1-1-17565-A-12.wav,1-17565-A-12.wav,crackling_fire,train,6
ESC50-1-1-17742-A-12.wav,1-17742-A-12.wav,crackling_fire,train,6
ESC50-1-1-17808-A-12.wav,1-17808-A-12.wav,crackling_fire,train,6
ESC50-1-1-17808-B-12.wav,1-17808-B-12.wav,crackling_fire,train,6
ESC50-1-1-4211-A-12.wav,1-4211-A-12.wav,crackling_fire,train,6
ESC50-1-1-46272-A-12.wav,1-46272-A-12.wav,crackling_fire,train,6
ESC50-1-1-7057-A-12.wav,1-7057-A-12.wav,crackling_fire,train,6
ESC50-2-2-18766-A-12.wav,2-18766-A-12.wav,crackling_fire,train,6
ESC50-2-2-18766-B-12.wav,2-18766-B-12.wav,crackling_fire,train,6
ESC50-2-2-28314-A-12.wav,2-28314-A-12.wav,crackling_fire,train,6
ESC50-2-2-28314-B-12.wav,2-28314-B-12.wav,crackling_fire,train,6
ESC50-2-2-30322-A-12.wav,2-30322-A-12.wav,crackling_fire,train,6
ESC50-2-2-30322-B-12.wav,2-30322-B-12.wav,crackling_fire,train,6
ESC50-2-2-61311-A-12.wav,2-61311-A-12.wav,crackling_fire,train,6
ESC50-2-2-65747-A-12.wav,2-65747-A-12.wav,crackling_fire,train,6
ESC50-3-3-104632-A-12.wav,3-104632-A-12.wav,crackling_fire,train,6
ESC50-3-3-104958-A-12.wav,3-104958-A-12.wav,crackling_fire,train,6
ESC50-3-3-120644-A-12.wav,3-120644-A-12.wav,crackling_fire,train,6
ESC50-3-3-145774-A-12.wav,3-145774-A-12.wav,crackling_fire,train,6
ESC50-3-3-147965-A-12.wav,3-147965-A-12.wav,crackling_fire,train,6
ESC50-3-3-157187-A-12.wav,3-157187-A-12.wav,crackling_fire,train,2
ESC50-3-3-158476-A-12.wav,3-158476-A-12.wav,crackling_fire,train,6
ESC50-3-3-65748-A-12.wav,3-65748-A-12.wav,crackling_fire,train,6
ESC50-4-4-164661-A-12.wav,4-164661-A-12.wav,crackling_fire,validation,6
ESC50-4-4-164661-B-12.wav,4-164661-B-12.wav,crackling_fire,validation,4
ESC50-4-4-170247-A-12.wav,4-170247-A-12.wav,crackling_fire,validation,6
ESC50-4-4-170247-B-12.wav,4-170247-B-12.wav,crackling_fire,validation,6
ESC50-4-4-171207-A-12.wav,4-171207-A-12.wav,crackling_fire,validation,6
ESC50-4-4-181563-A-12.wav,4-181563-A-12.wav,crackling_fire,validation,6
ESC50-4-4-182368-A-12.wav,4-182368-A-12.wav,crackling_fire,validation,6
ESC50-4-4-182369-A-12.wav,4-182369-A-12.wav,crackling_fire,validation,6
