threshold,speech_recall,hazard_macro_recall,hazard_macro_recall_loss,hazard_accuracy,hazard_false_speech_rate,speech_correct,speech_total,hazard_correct,hazard_total,hazards_suppressed_as_speech,passes_speech_gate,passes_hazard_gate,passes_loss_gate,passes_all_gates
0.01,1.0,0.3225925925925926,0.5655555555074074,0.3464566929133858,0.6417322834645669,24,24,88,254,163,True,False,False,False
0.02,1.0,0.47333333333333333,0.41481481476666665,0.4881889763779528,0.49606299212598426,24,24,124,254,126,True,False,False,False
0.03,1.0,0.5722222222222222,0.3159259258777778,0.5787401574803149,0.39763779527559057,24,24,147,254,101,True,False,False,False
0.04,1.0,0.6092592592592593,0.2788888888407407,0.6141732283464567,0.3425196850393701,24,24,156,254,87,True,False,False,False
0.05,1.0,0.6362962962962962,0.25185185180370373,0.6377952755905512,0.3188976377952756,24,24,162,254,81,True,False,False,False
0.06,1.0,0.652962962962963,0.235185185137037,0.6496062992125984,0.2992125984251969,24,24,165,254,76,True,False,False,False
0.07,0.9583333333333334,0.6666666666666667,0.22148148143333324,0.6653543307086615,0.2795275590551181,23,24,169,254,71,True,False,False,False
0.08,0.9583333333333334,0.6900000000000001,0.19814814809999992,0.6850393700787402,0.2559055118110236,23,24,174,254,65,True,False,False,False
0.09,0.9583333333333334,0.7033333333333334,0.1848148147666666,0.7007874015748031,0.23228346456692914,23,24,178,254,59,True,False,False,False
0.1,0.9583333333333334,0.7133333333333333,0.17481481476666672,0.7125984251968503,0.21653543307086615,23,24,181,254,55,True,False,False,False
0.11,0.9583333333333334,0.7266666666666667,0.1614814814333333,0.7283464566929134,0.19291338582677164,23,24,185,254,49,True,False,False,False
0.12,0.9583333333333334,0.7433333333333334,0.14481481476666658,0.7401574803149606,0.18110236220472442,23,24,188,254,46,True,False,False,False
0.13,0.9583333333333334,0.76,0.12814814809999997,0.7519685039370079,0.16929133858267717,23,24,191,254,43,True,False,False,False
0.14,0.9583333333333334,0.7766666666666666,0.11148148143333336,0.7637795275590551,0.15748031496062992,23,24,194,254,40,True,False,False,False
