score_threshold,minimum_spectrogram_sum,gunshot_trials_detected,ood_false_alert_trials,speech_false_alert_trials
0.44,25000.0,0,0,0
0.44,26000.0,0,0,0
0.44,27000.0,0,0,0
0.44,28000.0,0,0,0
0.44,29000.0,0,0,0
0.44,30000.0,0,0,0
0.45,4000.0,1,0,0
0.45,5000.0,1,0,0
0.45,6000.0,1,0,0
0.45,7000.0,1,0,0
0.45,8000.0,1,0,0
0.45,9000.0,1,0,0
0.45,10000.0,0,0,0
0.45,11000.0,0,0,0
0.45,12000.0,0,0,0
0.45,13000.0,0,0,0
0.45,14000.0,0,0,0
0.45,15000.0,0,0,0
0.45,16000.0,0,0,0
0.45,17000.0,0,0,0
0.45,18000.0,0,0,0
0.45,19000.0,0,0,0
0.45,20000.0,0,0,0
0.45,21000.0,0,0,0
0.45,22000.0,0,0,0
0.45,23000.0,0,0,0
0.45,24000.0,0,0,0
0.45,25000.0,0,0,0
0.45,26000.0,0,0,0
0.45,27000.0,0,0,0
0.45,28000.0,0,0,0
0.45,29000.0,0,0,0
0.45,30000.0,0,0,0
0.46,4000.0,1,0,0
0.46,5000.0,1,0,0
0.46,6000.0,1,0,0
0.46,7000.0,1,0,0
0.46,8000.0,1,0,0
0.46,9000.0,1,0,0
0.46,10000.0,0,0,0
0.46,11000.0,0,0,0
0.46,12000.0,0,0,0
0.46,13000.0,0,0,0
0.46,14000.0,0,0,0
0.46,15000.0,0,0,0
0.46,16000.0,0,0,0
0.46,17000.0,0,0,0
0.46,18000.0,0,0,0
0.46,19000.0,0,0,0
0.46,20000.0,0,0,0
0.46,21000.0,0,0,0
0.46,22000.0,0,0,0
0.46,23000.0,0,0,0
0.46,24000.0,0,0,0
0.46,25000.0,0,0,0
0.46,26000.0,0,0,0
0.46,27000.0,0,0,0
0.46,28000.0,0,0,0
0.46,29000.0,0,0,0
0.46,30000.0,0,0,0
0.47,4000.0,1,0,0
0.47,5000.0,1,0,0
0.47,6000.0,1,0,0
0.47,7000.0,1,0,0
0.47,8000.0,1,0,0
0.47,9000.0,1,0,0
0.47,10000.0,0,0,0
0.47,11000.0,0,0,0
0.47,12000.0,0,0,0
0.47,13000.0,0,0,0
0.47,14000.0,0,0,0
0.47,15000.0,0,0,0
0.47,16000.0,0,0,0
0.47,17000.0,0,0,0
0.47,18000.0,0,0,0
0.47,19000.0,0,0,0
0.47,20000.0,0,0,0
0.47,21000.0,0,0,0
0.47,22000.0,0,0,0
0.47,23000.0,0,0,0
0.47,24000.0,0,0,0
0.47,25000.0,0,0,0
0.47,26000.0,0,0,0
0.47,27000.0,0,0,0
0.47,28000.0,0,0,0
0.47,29000.0,0,0,0
0.47,30000.0,0,0,0
0.48,4000.0,1,0,0
0.48,5000.0,1,0,0
0.48,6000.0,1,0,0
0.48,7000.0,1,0,0
0.48,8000.0,1,0,0
0.48,9000.0,1,0,0
0.48,10000.0,0,0,0
0.48,11000.0,0,0,0
0.48,12000.0,0,0,0
0.48,13000.0,0,0,0
0.48,14000.0,0,0,0
0.48,15000.0,0,0,0
0.48,16000.0,0,0,0
0.48,17000.0,0,0,0
0.48,18000.0,0,0,0
0.48,19000.0,0,0,0
0.48,20000.0,0,0,0
0.48,21000.0,0,0,0
0.48,22000.0,0,0,0
0.48,23000.0,0,0,0
0.48,24000.0,0,0,0
0.48,25000.0,0,0,0
0.48,26000.0,0,0,0
0.48,27000.0,0,0,0
0.48,28000.0,0,0,0
0.48,29000.0,0,0,0
0.48,30000.0,0,0,0
0.49,4000.0,1,0,0
0.49,5000.0,1,0,0
0.49,6000.0,1,0,0
0.49,7000.0,1,0,0
0.49,8000.0,1,0,0
0.49,9000.0,1,0,0
0.49,10000.0,0,0,0
0.49,11000.0,0,0,0
0.49,12000.0,0,0,0
0.49,13000.0,0,0,0
0.49,14000.0,0,0,0
0.49,15000.0,0,0,0
0.49,16000.0,0,0,0
0.49,17000.0,0,0,0
0.49,18000.0,0,0,0
0.49,19000.0,0,0,0
0.49,20000.0,0,0,0
0.49,21000.0,0,0,0
0.49,22000.0,0,0,0
0.49,23000.0,0,0,0
0.49,24000.0,0,0,0
0.49,25000.0,0,0,0
0.49,26000.0,0,0,0
0.49,27000.0,0,0,0
0.49,28000.0,0,0,0
0.49,29000.0,0,0,0
0.49,30000.0,0,0,0
0.5,4000.0,1,0,0
0.5,5000.0,1,0,0
0.5,6000.0,1,0,0
0.5,7000.0,1,0,0
0.5,8000.0,1,0,0
0.5,9000.0,1,0,0
0.5,10000.0,0,0,0
0.5,11000.0,0,0,0
0.5,12000.0,0,0,0
0.5,13000.0,0,0,0
0.5,14000.0,0,0,0
0.5,15000.0,0,0,0
0.5,16000.0,0,0,0
0.5,17000.0,0,0,0
0.5,18000.0,0,0,0
0.5,19000.0,0,0,0
0.5,20000.0,0,0,0
0.5,21000.0,0,0,0
0.5,22000.0,0,0,0
0.5,23000.0,0,0,0
0.5,24000.0,0,0,0
0.5,25000.0,0,0,0
0.5,26000.0,0,0,0
0.5,27000.0,0,0,0
0.5,28000.0,0,0,0
0.5,29000.0,0,0,0
0.5,30000.0,0,0,0
0.51,4000.0,1,0,0
0.51,5000.0,1,0,0
0.51,6000.0,1,0,0
0.51,7000.0,1,0,0
0.51,8000.0,1,0,0
0.51,9000.0,1,0,0
0.51,10000.0,0,0,0
0.51,11000.0,0,0,0
0.51,12000.0,0,0,0
0.51,13000.0,0,0,0
0.51,14000.0,0,0,0
0.51,15000.0,0,0,0
0.51,16000.0,0,0,0
0.51,17000.0,0,0,0
0.51,18000.0,0,0,0
0.51,19000.0,0,0,0
0.51,20000.0,0,0,0
0.51,21000.0,0,0,0
0.51,22000.0,0,0,0
0.51,23000.0,0,0,0
0.51,24000.0,0,0,0
0.51,25000.0,0,0,0
0.51,26000.0,0,0,0
0.51,27000.0,0,0,0
0.51,28000.0,0,0,0
0.51,29000.0,0,0,0
0.51,30000.0,0,0,0
0.52,4000.0,1,0,0
0.52,5000.0,1,0,0
0.52,6000.0,1,0,0
0.52,7000.0,1,0,0
0.52,8000.0,1,0,0
0.52,9000.0,1,0,0
0.52,10000.0,0,0,0
0.52,11000.0,0,0,0
0.52,12000.0,0,0,0
0.52,13000.0,0,0,0
0.52,14000.0,0,0,0
0.52,15000.0,0,0,0
0.52,16000.0,0,0,0
0.52,17000.0,0,0,0
0.52,18000.0,0,0,0
0.52,19000.0,0,0,0
0.52,20000.0,0,0,0
0.52,21000.0,0,0,0
0.52,22000.0,0,0,0
0.52,23000.0,0,0,0
0.52,24000.0,0,0,0
0.52,25000.0,0,0,0
0.52,26000.0,0,0,0
0.52,27000.0,0,0,0
0.52,28000.0,0,0,0
0.52,29000.0,0,0,0
0.52,30000.0,0,0,0
0.53,4000.0,0,0,0
0.53,5000.0,0,0,0
0.53,6000.0,0,0,0
0.53,7000.0,0,0,0
0.53,8000.0,0,0,0
0.53,9000.0,0,0,0
0.53,10000.0,0,0,0
0.53,11000.0,0,0,0
0.53,12000.0,0,0,0
0.53,13000.0,0,0,0
0.53,14000.0,0,0,0
0.53,15000.0,0,0,0
0.53,16000.0,0,0,0
0.53,17000.0,0,0,0
0.53,18000.0,0,0,0
0.53,19000.0,0,0,0
0.53,20000.0,0,0,0
0.53,21000.0,0,0,0
0.53,22000.0,0,0,0
0.53,23000.0,0,0,0
0.53,24000.0,0,0,0
0.53,25000.0,0,0,0
0.53,26000.0,0,0,0
0.53,27000.0,0,0,0
0.53,28000.0,0,0,0
0.53,29000.0,0,0,0
0.53,30000.0,0,0,0
0.54,4000.0,0,0,0
0.54,5000.0,0,0,0
0.54,6000.0,0,0,0
0.54,7000.0,0,0,0
0.54,8000.0,0,0,0
0.54,9000.0,0,0,0
0.54,10000.0,0,0,0
0.54,11000.0,0,0,0
0.54,12000.0,0,0,0
0.54,13000.0,0,0,0
0.54,14000.0,0,0,0
0.54,15000.0,0,0,0
0.54,16000.0,0,0,0
0.54,17000.0,0,0,0
0.54,18000.0,0,0,0
0.54,19000.0,0,0,0
0.54,20000.0,0,0,0
0.54,21000.0,0,0,0
0.54,22000.0,0,0,0
0.54,23000.0,0,0,0
0.54,24000.0,0,0,0
0.54,25000.0,0,0,0
0.54,26000.0,0,0,0
0.54,27000.0,0,0,0
0.54,28000.0,0,0,0
0.54,29000.0,0,0,0
0.54,30000.0,0,0,0
0.55,4000.0,0,0,0
0.55,5000.0,0,0,0
0.55,6000.0,0,0,0
0.55,7000.0,0,0,0
0.55,8000.0,0,0,0
0.55,9000.0,0,0,0
0.55,10000.0,0,0,0
0.55,11000.0,0,0,0
0.55,12000.0,0,0,0
0.55,13000.0,0,0,0
0.55,14000.0,0,0,0
0.55,15000.0,0,0,0
0.55,16000.0,0,0,0
0.55,17000.0,0,0,0
0.55,18000.0,0,0,0
0.55,19000.0,0,0,0
0.55,20000.0,0,0,0
0.55,21000.0,0,0,0
0.55,22000.0,0,0,0
0.55,23000.0,0,0,0
0.55,24000.0,0,0,0
0.55,25000.0,0,0,0
0.55,26000.0,0,0,0
0.55,27000.0,0,0,0
0.55,28000.0,0,0,0
0.55,29000.0,0,0,0
0.55,30000.0,0,0,0
0.56,4000.0,0,0,0
0.56,5000.0,0,0,0
0.56,6000.0,0,0,0
0.56,7000.0,0,0,0
0.56,8000.0,0,0,0
0.56,9000.0,0,0,0
0.56,10000.0,0,0,0
0.56,11000.0,0,0,0
0.56,12000.0,0,0,0
0.56,13000.0,0,0,0
0.56,14000.0,0,0,0
0.56,15000.0,0,0,0
0.56,16000.0,0,0,0
0.56,17000.0,0,0,0
0.56,18000.0,0,0,0
0.56,19000.0,0,0,0
0.56,20000.0,0,0,0
0.56,21000.0,0,0,0
0.56,22000.0,0,0,0
0.56,23000.0,0,0,0
0.56,24000.0,0,0,0
0.56,25000.0,0,0,0
0.56,26000.0,0,0,0
0.56,27000.0,0,0,0
0.56,28000.0,0,0,0
0.56,29000.0,0,0,0
0.56,30000.0,0,0,0
0.57,4000.0,0,0,0
0.57,5000.0,0,0,0
0.57,6000.0,0,0,0
0.57,7000.0,0,0,0
0.57,8000.0,0,0,0
0.57,9000.0,0,0,0
0.57,10000.0,0,0,0
0.57,11000.0,0,0,0
0.57,12000.0,0,0,0
0.57,13000.0,0,0,0
0.57,14000.0,0,0,0
0.57,15000.0,0,0,0
0.57,16000.0,0,0,0
0.57,17000.0,0,0,0
0.57,18000.0,0,0,0
0.57,19000.0,0,0,0
0.57,20000.0,0,0,0
0.57,21000.0,0,0,0
0.57,22000.0,0,0,0
0.57,23000.0,0,0,0
0.57,24000.0,0,0,0
0.57,25000.0,0,0,0
0.57,26000.0,0,0,0
0.57,27000.0,0,0,0
0.57,28000.0,0,0,0
0.57,29000.0,0,0,0
0.57,30000.0,0,0,0
0.58,4000.0,0,0,0
0.58,5000.0,0,0,0
0.58,6000.0,0,0,0
0.58,7000.0,0,0,0
0.58,8000.0,0,0,0
0.58,9000.0,0,0,0
0.58,10000.0,0,0,0
0.58,11000.0,0,0,0
0.58,12000.0,0,0,0
0.58,13000.0,0,0,0
0.58,14000.0,0,0,0
0.58,15000.0,0,0,0
0.58,16000.0,0,0,0
0.58,17000.0,0,0,0
0.58,18000.0,0,0,0
0.58,19000.0,0,0,0
0.58,20000.0,0,0,0
0.58,21000.0,0,0,0
0.58,22000.0,0,0,0
0.58,23000.0,0,0,0
0.58,24000.0,0,0,0
0.58,25000.0,0,0,0
0.58,26000.0,0,0,0
0.58,27000.0,0,0,0
0.58,28000.0,0,0,0
0.58,29000.0,0,0,0
0.58,30000.0,0,0,0
0.59,4000.0,0,0,0
0.59,5000.0,0,0,0
0.59,6000.0,0,0,0
0.59,7000.0,0,0,0
