filename,category,source_dataset,source_id,source_group,source_filename,source_sha256,derived_sha256,variant_index,event_time_s,previous_event_time_s,event_detector,sample_rate_hz,duration_s,seed,transform_name,event_offset_s,source_left_padding_samples,source_right_padding_samples,boundary_policy,gain_db,speed_factor,highpass_hz,lowpass_hz,compression_drive,signal_to_noise_db,background_scale,background_file,background_category,background_source_group,limiter_gain,output_peak_dbfs,output_rms_dbfs
glass_breaking__esc50__fold_1__20133__0000__r0__aug0.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,e9073cb2964d0f1a232c4047b067fc7702db3d776bb1a9288fa8e6f7092d7449,0,0.157166,0.157166,reviewed_shatter_tail_v2,44100,1.0,451,position_only,0.200151,1896,0,zero_pad_without_source_sample_loss,0.0,1.0,,,1.0,,,,,,0.89125094,-1.0,-10.5042
glass_breaking__esc50__fold_1__20133__0000__r0__aug1.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,70f239508ea712a571b05e44775f21db60e6867cdd95e2ae7fa35362fc49961e,1,0.157166,0.157166,reviewed_shatter_tail_v2,44100,1.0,451,position_gain,0.199582,1871,0,zero_pad_without_source_sample_loss,0.6011,1.0,,,1.0,,,,,,0.83166305,-1.0,-10.5038
glass_breaking__esc50__fold_1__20133__0000__r0__aug2.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,e56c5a5de4796550125b4d33ceb07c3a11ca16b8f3fa57999710e83f5ed3c366,2,0.157166,0.157166,reviewed_shatter_tail_v2,44100,1.0,451,position_gain_background,0.248128,4011,0,zero_pad_without_source_sample_loss,3.0103,1.0,,,1.0,24.4649,0.41281893,3-112557-A-23.wav,breathing,esc50:112557,0.61757993,-1.0,-10.7664
glass_breaking__esc50__fold_1__20133__0000__r0__aug3.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,b3b9d7d7ca7feb1650ecaf93f1d8eee1d96c0574839881c8b5ec66488301b837,3,0.157166,0.157166,reviewed_shatter_tail_v2,44100,1.0,451,position_filter_background,0.299733,6287,0,zero_pad_without_source_sample_loss,3.1423,1.0,102.028,7943.408,1.0,18.3287,0.14627935,2-102567-D-35.wav,washing_machine,esc50:102567,0.57013118,-1.0,-13.1402
glass_breaking__esc50__fold_1__20133__0000__r0__aug4.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,909309061e08996a77bd9f0fba8d9d4d46e0f51e23bce0a9fd39526d1dc7c2e0,4,0.157166,0.157166,reviewed_shatter_tail_v2,44100,1.0,451,position_gain_repeat,0.182275,1107,0,zero_pad_without_source_sample_loss,2.3192,1.0,,,1.0,,,,,,0.68240518,-1.0,-10.4918
glass_breaking__esc50__fold_1__20133__0000__r0__aug5.wav,glass_breaking,ESC-50,20133,esc-50:20133,glass_breaking__esc50__fold_1__20133__0000__r0.wav,db6946133c37fbd4513fe932dbb71e0b077bf7d240beaed339eb6c88e48c903b,3c9359c70a525690ef01829bfbfca6fbbd45161d67da538ddd4f04188d8f8d87,5,0.157166,0.157166,reviewed_shatter_tail_v2,44100,1.0,451,position_gain_background_repeat,0.30916,6703,0,zero_pad_without_source_sample_loss,-3.346,1.0,,,1.0,20.2446,0.21983305,1-84393-A-32.wav,keyboard_typing,esc50:84393,1.0,-2.2525,-13.2239
glass_breaking__esc50__fold_1__84536__0001__r0__aug0.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,573b82a5d56fd8223bfe9f29c7c5d8133528d510dfbbf4ffe585419f9b6c7b74,0,0.58619,0.58619,reviewed_shatter_tail_v2,44100,1.0,451,position_only,0.25974,0,0,zero_pad_without_source_sample_loss,0.0,1.0,,,1.0,,,,,,0.89125094,-1.0,-11.8872
glass_breaking__esc50__fold_1__84536__0001__r0__aug1.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,9bfd5efacee7f50655bbfdc870936506b5991fc88eb79e3a94da3346e403fcfc,1,0.58619,0.58619,reviewed_shatter_tail_v2,44100,1.0,451,position_gain,0.153848,0,0,zero_pad_without_source_sample_loss,4.7306,1.0,,,1.0,,,,,,0.51697506,-1.0,-11.8307
glass_breaking__esc50__fold_1__84536__0001__r0__aug2.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,e5ff80faebd7aa0d3a19bf799667ca92140e9d64594f52d9765127722ee5c4e3,2,0.58619,0.58619,reviewed_shatter_tail_v2,44100,1.0,451,position_gain_background,0.146213,0,0,zero_pad_without_source_sample_loss,0.6907,1.0,,,1.0,21.1073,2.44164787,3-150363-A-38.wav,clock_tick,esc50:150363,0.77554429,-1.0,-12.3016
glass_breaking__esc50__fold_1__84536__0001__r0__aug3.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,a3bbbaa8087c2b6fcaf961e2814975f17ae54c922687dbb2e62b4917fb72941a,3,0.58619,0.58619,reviewed_shatter_tail_v2,44100,1.0,451,position_filter_background,0.126964,0,0,zero_pad_without_source_sample_loss,-0.3562,1.0,126.876,8200.161,1.0,23.283,0.08815546,1-21896-A-35.wav,washing_machine,esc50:21896,0.8133385,-1.0,-16.146
