filename,fold,target,category,esc10,src_file,take
1-116765-A-41.wav,1,41,chainsaw,True,116765,A
1-19898-A-41.wav,1,41,chainsaw,True,19898,A
1-19898-B-41.wav,1,41,chainsaw,True,19898,B
1-19898-C-41.wav,1,41,chainsaw,True,19898,C
1-47250-A-41.wav,1,41,chainsaw,True,47250,A
1-47250-B-41.wav,1,41,chainsaw,True,47250,B
1-64398-A-41.wav,1,41,chainsaw,True,64398,A
1-64398-B-41.wav,1,41,chainsaw,True,64398,B
2-50667-A-41.wav,2,41,chainsaw,True,50667,A
2-50667-B-41.wav,2,41,chainsaw,True,50667,B
2-50668-A-41.wav,2,41,chainsaw,True,50668,A
2-50668-B-41.wav,2,41,chainsaw,True,50668,B
2-68391-A-41.wav,2,41,chainsaw,True,68391,A
2-68391-B-41.wav,2,41,chainsaw,True,68391,B
2-77945-A-41.wav,2,41,chainsaw,True,77945,A
2-77945-B-41.wav,2,41,chainsaw,True,77945,B
3-118656-A-41.wav,3,41,chainsaw,True,118656,A
3-118657-A-41.wav,3,41,chainsaw,True,118657,A
3-118657-B-41.wav,3,41,chainsaw,True,118657,B
3-118658-A-41.wav,3,41,chainsaw,True,118658,A
3-118658-B-41.wav,3,41,chainsaw,True,118658,B
3-118972-A-41.wav,3,41,chainsaw,True,118972,A
3-118972-B-41.wav,3,41,chainsaw,True,118972,B
3-165856-A-41.wav,3,41,chainsaw,True,165856,A
1-104089-A-22.wav,1,22,clapping,False,104089,A
1-104089-B-22.wav,1,22,clapping,False,104089,B
1-105224-A-22.wav,1,22,clapping,False,105224,A
1-110537-A-22.wav,1,22,clapping,False,110537,A
1-115920-A-22.wav,1,22,clapping,False,115920,A
1-115920-B-22.wav,1,22,clapping,False,115920,B
1-115921-A-22.wav,1,22,clapping,False,115921,A
1-94036-A-22.wav,1,22,clapping,False,94036,A
2-25292-A-22.wav,2,22,clapping,False,25292,A
2-25293-A-22.wav,2,22,clapping,False,25293,A
2-57733-A-22.wav,2,22,clapping,False,57733,A
2-60900-A-22.wav,2,22,clapping,False,60900,A
2-76408-A-22.wav,2,22,clapping,False,76408,A
2-76408-B-22.wav,2,22,clapping,False,76408,B
2-76408-C-22.wav,2,22,clapping,False,76408,C
2-76408-D-22.wav,2,22,clapping,False,76408,D
3-130330-A-22.wav,3,22,clapping,False,130330,A
3-138114-A-22.wav,3,22,clapping,False,138114,A
3-149465-A-22.wav,3,22,clapping,False,149465,A
3-177082-A-22.wav,3,22,clapping,False,177082,A
3-177083-A-22.wav,3,22,clapping,False,177083,A
3-181278-A-22.wav,3,22,clapping,False,181278,A
3-197435-A-22.wav,3,22,clapping,False,197435,A
3-197435-B-22.wav,3,22,clapping,False,197435,B
1-19111-A-24.wav,1,24,coughing,False,19111,A
1-19118-A-24.wav,1,24,coughing,False,19118,A
1-30830-A-24.wav,1,24,coughing,False,30830,A
1-52266-A-24.wav,1,24,coughing,False,52266,A
1-52323-A-24.wav,1,24,coughing,False,52323,A
1-53663-A-24.wav,1,24,coughing,False,53663,A
1-58792-A-24.wav,1,24,coughing,False,58792,A
1-63679-A-24.wav,1,24,coughing,False,63679,A
2-108017-A-24.wav,2,24,coughing,False,108017,A
2-123896-A-24.wav,2,24,coughing,False,123896,A
2-85292-A-24.wav,2,24,coughing,False,85292,A
2-87412-A-24.wav,2,24,coughing,False,87412,A
2-87794-A-24.wav,2,24,coughing,False,87794,A
2-87795-A-24.wav,2,24,coughing,False,87795,A
