slice_file_name,freesound_source_id,source_group,source_author,source_url,dataset_license,fold,start_s,end_s,salience,relationship_to_b0,eligible_for_b2_training,exclusion_reason
102305-6-0-0.wav,102305,freesound:102305,Saturnvandel,https://freesound.org/s/102305/,CC BY-NC 3.0,1,0.0,2.61161,1,new_source,true,
106955-6-0-0.wav,106955,freesound:106955,Tito Lahaye,https://freesound.org/s/106955/,CC BY-NC 3.0,9,0.495575,1.649031,1,new_source,false,reserved_urbansound_fold
110622-6-0-0.wav,110622,freesound:110622,soundscalpel.com,https://freesound.org/s/110622/,CC BY-NC 3.0,3,0.0,1.501211,1,new_source,true,
111048-6-0-0.wav,111048,freesound:111048,Cyberkineticfilms,https://freesound.org/s/111048/,CC BY-NC 3.0,6,0.0,1.314579,1,new_source,true,
122690-6-0-0.wav,122690,freesound:122690,Mittelmorder,https://freesound.org/s/122690/,CC BY-NC 3.0,1,12.231953,15.37784,1,new_source,true,
131571-6-0-0.wav,131571,freesound:131571,vtkproductions.com,https://freesound.org/s/131571/,CC BY-NC 3.0,8,0.128306,2.031517,1,new_source,true,
133797-6-0-0.wav,133797,freesound:133797,Julien Nicolas,https://freesound.org/s/133797/,CC BY-NC 3.0,6,3.254115,4.66165,1,new_source,true,
133797-6-1-0.wav,133797,freesound:133797,Julien Nicolas,https://freesound.org/s/133797/,CC BY-NC 3.0,6,6.895626,8.845512,1,new_source,true,
133797-6-2-0.wav,133797,freesound:133797,Julien Nicolas,https://freesound.org/s/133797/,CC BY-NC 3.0,6,9.116689,10.885791,1,new_source,true,
135526-6-0-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,3.531258,5.006647,1,new_source,true,
135526-6-1-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,5.006647,6.457848,1,new_source,true,
135526-6-10-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,22.759683,25.371846,1,new_source,true,
135526-6-11-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,25.371846,27.766329,1,new_source,true,
135526-6-12-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,27.766329,30.451053,1,new_source,true,
135526-6-13-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,30.451053,31.007347,1,new_source,true,
135526-6-2-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,6.457848,9.045825,1,new_source,true,
135526-6-3-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,9.045825,10.569587,1,new_source,true,
135526-6-4-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,10.569587,12.359403,1,new_source,true,
135526-6-5-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,12.359403,14.657139,1,new_source,true,
135526-6-6-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,14.657139,16.858129,1,new_source,true,
135526-6-7-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,16.858129,18.913998,1,new_source,true,
135526-6-8-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,18.913998,20.776374,1,new_source,true,
135526-6-9-0.wav,135526,freesound:135526,jackgarrison,https://freesound.org/s/135526/,CC BY-NC 3.0,3,20.776374,22.759683,1,new_source,true,
135527-6-0-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,0.0,1.280285,2,new_source,true,
135527-6-1-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,1.280285,4.511481,2,new_source,true,
135527-6-10-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,32.860655,33.714179,2,new_source,true,
135527-6-11-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,36.274749,38.164694,2,new_source,true,
135527-6-12-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,38.469524,40.420435,2,new_source,true,
135527-6-13-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,43.468733,45.17578,2,new_source,true,
135527-6-14-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,48.406976,52.406976,2,new_source,true,
135527-6-14-1.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,48.906976,52.906976,2,new_source,true,
135527-6-14-10.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,53.406976,57.406976,2,new_source,true,
135527-6-14-2.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,49.406976,53.406976,2,new_source,true,
135527-6-14-3.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,49.906976,53.906976,2,new_source,true,
135527-6-14-4.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,50.406976,54.406976,2,new_source,true,
135527-6-14-5.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,50.906976,54.906976,2,new_source,true,
135527-6-14-6.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,51.406976,55.406976,2,new_source,true,
135527-6-14-7.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,51.906976,55.906976,2,new_source,true,
135527-6-14-8.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,52.406976,56.406976,2,new_source,true,
135527-6-14-9.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,52.906976,56.906976,2,new_source,true,
135527-6-2-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,4.511481,6.64529,2,new_source,true,
135527-6-3-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,9.205861,10.486146,2,new_source,true,
135527-6-4-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,10.486146,12.680921,2,new_source,true,
135527-6-5-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,12.680921,14.936661,2,new_source,true,
135527-6-6-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,16.095015,18.533653,2,new_source,true,
135527-6-7-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,18.777517,21.15519,2,new_source,true,
135527-6-8-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,21.642918,23.471897,2,new_source,true,
135527-6-9-0.wav,135527,freesound:135527,jackgarrison,https://freesound.org/s/135527/,CC BY-NC 3.0,7,23.471897,25.544739,2,new_source,true,
135528-6-0-0.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,8.25396,10.70784,2,new_source,true,
135528-6-1-0.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,10.98669,13.161721,2,new_source,true,
135528-6-10-0.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,58.112342,60.231602,2,new_source,true,
135528-6-11-0.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,62.127782,63.968193,2,new_source,true,
135528-6-12-0.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,65.027823,67.370163,2,new_source,true,
135528-6-2-0.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,13.440571,17.440571,2,new_source,true,
135528-6-3-0.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,18.515641,21.359911,2,new_source,true,
135528-6-4-0.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,21.359911,25.359911,2,new_source,true,
135528-6-4-1.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,21.859911,25.859911,2,new_source,true,
135528-6-4-2.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,22.359911,26.359911,2,new_source,true,
135528-6-5-0.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,30.338881,32.569681,2,new_source,true,
135528-6-6-0.wav,135528,freesound:135528,jackgarrison,https://freesound.org/s/135528/,CC BY-NC 3.0,4,34.633171,36.640891,2,new_source,true,
