epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6366880536079407,0.0010000000474974513,0.6435264348983765,0.6673762798309326,0.6633831262588501
1,0.7437544465065002,0.0010000000474974513,0.5550172328948975,0.7296434044837952,0.6038187742233276
2,0.7668331861495972,0.0010000000474974513,0.5120449066162109,0.7163384556770325,0.6061087846755981
3,0.7751606106758118,0.0010000000474974513,0.49030500650405884,0.7397552132606506,0.6109166145324707
4,0.7818225026130676,0.0010000000474974513,0.47697713971138,0.7509313225746155,0.5889611840248108
5,0.7882465124130249,0.0010000000474974513,0.47490358352661133,0.757849931716919,0.5836002230644226
6,0.8015702962875366,0.0010000000474974513,0.46786361932754517,0.7466737627983093,0.5745373964309692
7,0.8010944724082947,0.0010000000474974513,0.44943347573280334,0.7668972611427307,0.5681653618812561
8,0.7908636927604675,0.0010000000474974513,0.46596041321754456,0.7621074914932251,0.571431040763855
9,0.8010944724082947,0.0010000000474974513,0.44878679513931274,0.7456093430519104,0.5725165605545044
10,0.8077563643455505,0.0010000000474974513,0.4392077624797821,0.7621074914932251,0.5715059041976929
11,0.8110873103141785,0.0010000000474974513,0.4381573498249054,0.7541245222091675,0.5904468297958374
12,0.8129907250404358,0.0010000000474974513,0.4320380389690399,0.7605109214782715,0.5658462643623352
13,0.8236973881721497,0.0005000000237487257,0.4249257445335388,0.7684938907623291,0.5645460486412048
14,0.818700909614563,0.0005000000237487257,0.42201825976371765,0.7653006911277771,0.5565832853317261
15,0.8163216710090637,0.0005000000237487257,0.4220326244831085,0.7615752816200256,0.557996392250061
16,0.8184630274772644,0.0005000000237487257,0.4240714907646179,0.7562533020973206,0.5870693922042847
17,0.8222697973251343,0.0005000000237487257,0.4171811640262604,0.7642362713813782,0.555266261100769
18,0.8263145089149475,0.0005000000237487257,0.4196052849292755,0.766365110874176,0.5529680848121643
19,0.8360694646835327,0.0002500000118743628,0.4083600342273712,0.7700904607772827,0.5519785284996033
20,0.8286938071250916,0.0002500000118743628,0.4072137176990509,0.7658329010009766,0.5530264973640442
21,0.8282179236412048,0.0002500000118743628,0.41270288825035095,0.7674294710159302,0.5550923943519592
22,0.8348798751831055,0.0002500000118743628,0.4020485281944275,0.7589142918586731,0.5539407730102539
23,0.836783230304718,0.0002500000118743628,0.4067637324333191,0.7594465017318726,0.5769922137260437
24,0.8322626948356628,0.0002500000118743628,0.40657514333724976,0.7637041211128235,0.5522137880325317
25,0.8327385187149048,0.0001250000059371814,0.4055368900299072,0.7706226706504822,0.5537232160568237
26,0.8346419334411621,0.0001250000059371814,0.40819036960601807,0.7679616808891296,0.5505426526069641
27,0.8301213383674622,0.0001250000059371814,0.408086359500885,0.7711548805236816,0.5546661615371704
28,0.8339281678199768,0.0001250000059371814,0.4082978069782257,0.7716870903968811,0.5543982982635498
29,0.836783230304718,0.0001250000059371814,0.40182849764823914,0.7700904607772827,0.5487120151519775
30,0.8315488696098328,0.0001250000059371814,0.4034160077571869,0.7679616808891296,0.5488175749778748
31,0.8398762941360474,0.0001250000059371814,0.3999122977256775,0.7695582509040833,0.5493782162666321
32,0.8374970555305481,0.0001250000059371814,0.40476930141448975,0.7711548805236816,0.5528969168663025
33,0.8398762941360474,0.0001250000059371814,0.40218162536621094,0.7711548805236816,0.5462943911552429
34,0.8344039916992188,6.25000029685907e-05,0.40332797169685364,0.7706226706504822,0.5476710796356201
35,0.8332143425941467,6.25000029685907e-05,0.4024505615234375,0.7711548805236816,0.5486992597579956
36,0.8341660499572754,6.25000029685907e-05,0.40312135219573975,0.7700904607772827,0.5468648076057434
37,0.8394004106521606,6.25000029685907e-05,0.40471896529197693,0.7711548805236816,0.5472452640533447
38,0.8389245867729187,6.25000029685907e-05,0.3979049026966095,0.7706226706504822,0.5457668900489807
39,0.8325005769729614,3.125000148429535e-05,0.40213215351104736,0.7706226706504822,0.5461750030517578
40,0.840828001499176,3.125000148429535e-05,0.4020004868507385,0.7716870903968811,0.5464938282966614
